BEANS PER JAR,JARS,TOTAL BEANS
572,764,437008
947,511,483917
191,885,169035
725,137,99325
523,120,62760
396,961,380556
368,15,5520
843,32,26976
356,257,91492
770,622,478940
667,451,300817
737,749,552013
178,667,118726
548,997,546356
665,282,187530
695,96,66720
498,161,80178
952,992,944384
952,549,522648
394,136,53584
980,682,668360
444,411,182484
802,267,214134
600,689,413400
930,493,458490
637,164,104468
744,702,522288
6,53,318
383,509,194947
200,609,121800
963,581,559503
357,155,55335
899,63,56637
6,606,3636
407,251,102157
779,274,213446
512,904,462848
248,60,14880
494,336,165984
395,784,309680
942,244,229848
82,818,67076
144,945,136080
652,963,627876
550,701,385550
7,924,6468
728,812,591136
626,827,517702
805,773,622265
224,661,148064
225,623,140175
430,405,174150
947,474,448878
351,277,97227
620,33,20460
265,155,41075
157,990,155430
278,5,1390
258,878,226524
675,858,579150
186,174,32364
331,117,38727
369,347,128043
76,110,8360
667,386,257462
162,355,57510
57,676,38532
756,73,55188
828,28,23184
349,189,65961
91,951,86541
73,549,40077
142,688,97696
621,537,333477
748,799,597652
718,382,274276
12,229,2748
92,575,52900
755,250,188750
263,111,29193
75,973,72975
577,32,18464
785,836,656260
83,998,82834
575,728,418600
57,365,20805
169,499,84331
784,462,362208
1,491,491
363,933,338679
57,854,48678
299,386,115414
420,949,398580
832,185,153920
480,301,144480
800,958,766400
999,923,922077
100,136,13600
731,35,25585
115,555,63825
944,675,637200
24,285,6840
584,790,461360
961,766,736126
640,35,22400
525,185,97125
462,986,455532
955,318,303690
591,593,350463
598,990,592020
476,196,93296
617,111,68487
848,211,178928
588,163,95844
545,449,244705
227,734,166618
676,543,367068
932,728,678496
473,717,339141
627,140,87780
731,132,96492
48,763,36624
727,604,439108
23,888,20424
584,410,239440
521,576,300096
494,82,40508
803,769,617507
388,159,61692
691,927,640557
202,122,24644
925,48,44400
527,770,405790
244,879,214476
719,756,543564
912,753,686736
643,677,435311
485,137,66445
350,595,208250
735,39,28665
757,143,108251
140,774,108360
353,561,198033
621,612,380052
566,116,65656
910,368,334880
885,774,684990
463,614,284282
790,658,519820
132,702,92664
6,869,5214
93,562,52266
998,720,718560
640,5,3200
489,16,7824
390,612,238680
433,320,138560
106,245,25970
372,476,177072
128,888,113664
639,980,626220
138,891,122958
410,849,348090
202,191,38582
912,848,773376
841,223,187543
801,787,630387
421,635,267335
330,324,106920
323,325,104975
528,789,416592
849,197,167253
745,334,248830
206,181,37286
631,982,619642
881,349,307469
25,207,5175
792,755,597960
305,454,138470
605,667,403535
38,342,12996
837,56,46872
135,769,103815
392,106,41552
547,320,175040
696,499,347304
842,239,201238
966,183,176778
432,806,348192
615,858,527670
799,594,474606
807,686,553602
818,247,202046
769,439,337591
799,79,63121
548,132,72336
179,246,44034
541,687,371667
431,541,233171
835,502,419170
23,473,10879
622,535,332770
177,410,72570
417,637,265629
351,745,261495
51,221,11271
646,352,227392
323,500,161500
124,267,33108
24,484,11616
690,932,643080
686,797,546742
548,598,327704
783,181,141723
861,587,505407
327,945,309015
421,351,147771
803,313,251339
331,26,8606
5,775,3875
1,687,687
168,479,80472
502,224,112448
584,844,492896
783,891,697653
273,540,147420
55,552,30360
955,774,739170
554,559,309686
545,412,224540
730,571,416830
745,989,736805
328,725,237800
137,766,104942
808,425,343400
484,7,3388
407,964,392348
252,352,88704
175,88,15400
767,206,158002
607,990,600930
989,227,224503
686,92,63112
487,923,449501
48,214,10272
956,518,495208
147,23,3381
320,631,201920
732,314,229848
121,605,73205
592,737,436304
628,140,87920
484,48,23232
513,516,264708
456,689,314184
84,148,12432
974,712,693488
247,28,6916
945,202,190890
841,818,687938
361,532,192052
249,138,34362
90,709,63810
376,64,24064
342,79,27018
858,619,531102
784,285,223440
528,734,387552
256,787,201472
394,191,75254
781,955,745855
704,445,313280
76,387,29412
380,842,319960
767,799,612833
794,180,142920
462,529,244398
929,397,368813
562,988,555256
921,879,809559
253,448,113344
677,226,153002
715,927,662805
969,994,963186
499,316,157684
354,920,325680
136,424,57664
236,292,68912
632,572,361504
13,163,2119
130,262,34060
584,939,548376
138,860,118680
950,918,872100
767,554,424918
518,29,15022
575,543,312225
240,999,239760
489,990,484110
347,164,56908
641,334,214094
613,504,308952
522,660,344520
282,764,215448
395,844,333380
293,718,210374
877,429,376233
327,588,192276
435,771,335385
644,771,496524
575,323,185725
318,51,16218
572,208,118976
475,554,263150
600,582,349200
406,595,241570
661,576,380736
48,589,28272
128,860,110080
159,677,107643
20,373,7460
320,183,58560
941,508,478028
509,301,153209
48,872,41856
901,788,709988
281,461,129541
758,115,87170
108,247,26676
784,700,548800
154,830,127820
606,49,29694
23,176,4048
923,111,102453
747,257,191979
555,791,439005
699,904,631896
84,245,20580
69,723,49887
945,904,854280
860,315,270900
312,256,79872
448,703,314944
44,1,44
675,198,133650
42,388,16296
878,109,95702
834,451,376134
490,95,46550
785,717,562845
854,116,99064
594,998,592812
203,742,150626
579,313,181227
402,153,61506
167,831,138777
744,996,741024
555,277,153735
137,941,128917
240,937,224880
293,703,205979
871,44,38324
294,25,7350
548,37,20276
187,668,124916
638,776,495088
317,238,75446
628,536,336608
565,353,199445
81,280,22680
613,485,297305
638,779,497002
976,503,490928
90,174,15660
991,994,985054
889,39,34671
140,447,62580
788,911,717868
676,805,544180
175,402,70350
196,408,79968
434,264,114576
115,303,34845
365,340,124100
153,828,126684
602,819,493038
279,823,229617
307,26,7982
314,492,154488
461,888,409368
697,315,219555
355,635,225425
550,5,2750
357,888,317016
250,573,143250
651,488,317688
967,193,186631
190,111,21090
118,989,116702
560,167,93520
733,734,538022
416,12,4992
149,399,59451
248,903,223944
569,997,567293
224,514,115136
455,457,207935
508,642,326136
52,800,41600
866,838,725708
279,136,37944
149,951,141699
795,173,137535
206,586,120716
343,88,30184
821,956,784876
589,594,349866
221,201,44421
167,945,157815
649,646,419254
622,881,547982
972,99,96228
24,778,18672
714,315,224910
729,91,66339
14,57,798
604,333,201132
586,762,446532
956,347,331732
523,843,440889
781,27,21087
938,787,738206
40,520,20800
672,171,114912
778,103,80134
395,504,199080
656,133,87248
676,120,81120
170,72,12240
698,171,119358
371,695,257845
839,923,774397
966,792,765072
61,662,40382
840,119,99960
825,401,330825
263,939,246957
486,10,4860
286,71,20306
177,502,88854
568,706,401008
538,644,346472
806,812,654472
31,420,13020
748,539,403172
488,744,363072
110,748,82280
702,79,55458
647,59,38173
609,829,504861
215,18,3870
463,457,211591
639,279,178281
29,504,14616
333,682,227106
595,657,390915
914,207,189198
327,45,14715
712,882,627984
989,681,673509
555,153,84915
75,835,62625
402,720,289440
463,808,374104
994,801,796194
553,166,91798
504,730,367920
524,283,148292
652,523,340996
755,664,501320
393,139,54627
872,340,296480
379,477,180783
302,559,168818
510,217,110670
470,133,62510
665,301,200165
23,322,7406
429,802,344058
463,601,278263
362,154,55748
397,813,322761
900,824,741600
684,600,410400
716,130,93080
41,378,15498
475,497,236075
281,871,244751
4,680,2720
964,776,748064
849,970,823530
536,543,291048
263,331,87053
823,725,596675
652,968,631136
881,593,522433
405,300,121500
412,658,271096
804,344,276576
531,277,147087
264,922,243408
305,768,234240
608,997,606176
909,416,378144
923,664,612872
694,911,632234
618,877,541986
742,102,75684
756,195,147420
85,117,9945
350,475,166250
171,964,164844
750,451,338250
585,461,269685
882,820,723240
903,62,55986
981,108,105948
655,943,617665
337,227,76499
689,895,616655
688,916,630208
822,531,436482
410,799,327590
888,291,258408
173,107,18511
328,999,327672
539,400,215600
802,413,331226
435,192,83520
487,937,456319
561,241,135201
825,270,222750
485,401,194485
812,538,436856
126,219,27594
251,45,11295
183,674,123342
607,441,267687
625,877,548125
507,165,83655
761,616,468776
383,805,308315
265,703,186295
240,363,87120
284,610,173240
692,159,110028
924,106,97944
60,769,46140
99,441,43659
637,353,224861
784,780,611520
428,86,36808
378,575,217350
202,147,29694
14,186,2604
139,628,87292
270,175,47250
942,693,652806
205,260,53300
112,899,100688
753,371,279363
198,682,135036
378,350,132300
883,734,648122
131,866,113446
141,674,95034
712,70,49840
119,969,115311
593,158,93694
310,928,287680
754,729,549666
980,677,663460
211,571,120481
348,574,199752
659,149,98191
987,809,798483
360,486,174960
304,788,239552
803,481,386243
199,534,106266
399,816,325584
356,745,265220
243,720,174960
611,548,334828
458,393,179994
471,843,397053
728,320,232960
668,250,167000
488,806,393328
613,700,429100
117,968,113256
257,518,133126
250,225,56250
978,92,89976
685,128,87680
692,911,630412
1,627,627
253,970,245410
11,690,7590
19,581,11039
693,858,594594
93,439,40827
397,472,187384
683,911,622213
683,3,2049
353,478,168734
624,670,418080
306,421,128826
622,169,105118
948,296,280608
918,491,450738
470,998,469060
319,986,314534
649,837,543213
63,370,23310
426,521,221946
230,772,177560
533,66,35178
514,161,82754
273,444,121212
213,604,128652
920,851,782920
552,913,503976
728,430,313040
896,703,629888
187,917,171479
333,669,222777
788,808,636704
51,335,17085
21,993,20853
233,132,30756
219,820,179580
590,751,443090
137,798,109326
784,374,293216
635,649,412115
387,665,257355
670,808,541360
832,419,348608
360,592,213120
414,817,338238
185,77,14245
316,254,80264
997,749,746753
296,263,77848
728,905,658840
359,229,82211
990,879,870210
957,547,523479
625,251,156875
323,459,148257
16,360,5760
502,869,436238
144,436,62784
292,717,209364
780,737,574860
434,291,126294
326,277,90302
350,144,50400
29,605,17545
282,266,75012
767,576,441792
863,534,460842
202,517,104434
1,804,804
419,630,263970
281,502,141062
223,479,106817
906,878,795468
91,157,14287
216,6,1296
329,233,76657
620,871,540020
511,286,146146
388,846,328248
618,570,352260
250,936,234000
656,52,34112
259,814,210826
778,886,689308
338,707,238966
552,695,383640
873,360,314280
957,74,70818
337,506,170522
37,471,17427
972,961,934092
443,555,245865
501,841,421341
800,270,216000
123,478,58794
920,235,216200
577,587,338699
106,588,62328
273,897,244881
114,319,36366
91,143,13013
108,513,55404
551,962,530062
618,377,232986
285,253,72105
466,324,150984
130,355,46150
93,469,43617
119,237,28203
770,460,354200
897,777,696969
110,691,76010
837,406,339822
916,100,91600
877,94,82438
135,788,106380
384,823,316032
335,170,56950
550,205,112750
811,44,35684
160,616,98560
940,269,252860
813,307,249591
315,485,152775
648,638,413424
828,48,39744
773,819,633087
161,324,52164
314,103,32342
474,174,82476
584,96,56064
100,703,70300
462,263,121506
213,937,199581
567,948,537516
726,587,426162
363,612,222156
44,604,26576
977,435,424995
571,179,102209
513,21,10773
548,244,133712
625,85,53125
391,854,333914
73,752,54896
419,269,112711
354,406,143724
611,877,535847
534,28,14952
3,811,2433
79,64,5056
674,592,399008
75,421,31575
224,790,176960
974,148,144152
670,402,269340
491,187,91817
216,716,154656
948,898,851304
66,323,21318
896,233,208768
810,733,593730
232,437,101384
964,557,536948
673,259,174307
614,202,124028
192,890,170880
705,104,73320
743,421,312803
604,483,291732
427,875,373625
213,14,2982
262,993,260166
589,743,437627
924,62,57288
116,774,89784
779,869,676951
830,558,463140
681,800,544800
562,386,216932
358,657,235206
143,50,7150
967,431,416777
27,893,24111
123,359,44157
669,245,163905
371,621,230391
537,515,276555
63,18,1134
636,808,513888
41,898,36818
645,159,102555
370,366,135420
682,135,92070
905,969,876945
233,50,11650
297,836,248292
982,661,649102
818,175,143150
209,733,153197
552,879,485208
901,780,702780
139,549,76311
311,423,131553
594,326,193644
389,890,346210
870,540,469800
843,215,181245
217,435,94395
674,489,329586
817,310,253270
614,195,119730
405,461,186705
335,701,234835
172,260,44720
662,990,655380
435,232,100920
507,91,46137
526,120,63120
210,488,102480
52,959,49868
366,496,181536
842,695,585190
604,630,380520
522,26,13572
653,438,286014
962,481,462722
812,385,312620
868,949,823732
112,230,25760
868,11,9548
687,387,265869
184,219,40296
401,851,341251
157,150,23550
806,544,438464
407,203,82621
446,219,97674
155,270,41850
116,186,21576
180,289,52020
609,488,297192
106,373,39538
586,93,54498
511,194,99134
311,782,243202
722,464,335008
559,429,239811
908,942,855336
346,95,32870
142,824,117008
44,63,2772
935,736,688160
519,673,349287
752,900,676800
137,565,77405
473,873,412929
814,779,634106
14,717,10038
650,124,80600
115,744,85560
367,239,87713
900,9,8100
405,327,132435
606,966,585396
60,445,26700
226,421,95146
246,168,41328
863,26,22438
210,604,126840
256,773,197888
928,744,690432
279,772,215388
767,961,737087
714,131,93534
986,538,530468
603,700,422100
498,287,142926
458,761,348538
211,426,89886
842,801,674442
431,587,252997
347,179,62113
14,310,4340
280,535,149800
876,308,269808
654,752,491808
695,708,492060
565,724,409060
434,761,330274
1,760,760
846,216,182736
7,257,1799
984,638,627792
878,653,573334
554,463,256502
730,174,127020
104,398,41392
230,792,182160
143,232,33176
444,65,28860
934,398,371732
562,91,51142
622,372,231384
378,74,27972
640,197,126080
756,924,698544
91,319,29029
231,226,52206
726,856,621456
587,441,258867
348,897,312156
748,240,179520
87,107,9309
49,105,5145
800,365,292000
959,965,925435
145,369,53505
651,64,41664
393,718,282174
80,288,23040
414,21,8694
575,306,175950
677,635,429895
545,801,436545
849,778,660522
528,664,350592
752,677,509104
470,329,154630
283,547,154801
145,125,18125
810,728,589680
903,803,725109
71,530,37630
581,884,513604
860,720,619200
518,606,313908
551,256,141056
773,399,308427
761,550,418550
807,954,769878
332,323,107236
527,765,403155
477,289,137853
932,291,271212
36,590,21240
908,868,788144
783,445,348435
97,141,13677
78,129,10062
961,112,107632
493,263,129659
425,653,277525
375,577,216375
42,41,1722
179,903,161637
642,176,112992
518,752,389536
109,939,102351
303,160,48480
980,346,339080
100,643,64300
448,745,333760
521,169,88049
945,55,51975
309,139,42951
27,460,12420
203,44,8932
297,553,164241
11,226,2486
398,11,4378
213,227,48351
878,640,561920
960,95,91200
820,406,332920
490,969,474810
359,207,74313
335,530,177550
793,634,502762
476,619,294644
546,759,414414
372,227,84444
871,159,138489
543,163,88509
689,80,55120
306,949,290394
17,255,4335
499,977,487523
183,951,174033
657,149,97893
480,96,46080
916,664,608224
551,422,232522
67,350,23450
310,112,34720
469,149,69881
362,735,266070
378,828,312984
380,964,366320
592,651,385392
832,93,77376
773,506,391138
965,9,8685
106,654,69324
303,760,230280
701,340,238340
31,532,16492
263,595,156485
609,12,7308
768,723,555264
36,532,19152
930,606,563580
802,384,307968
160,235,37600
830,520,431600
845,323,272935
89,643,57227
576,689,396864
202,564,113928
973,228,221844
258,405,104490
429,437,187473
558,239,133362
976,404,394304
999,187,186813
20,171,3420
917,734,673078
218,908,197944
547,702,383994
174,133,23142
974,750,730500
293,293,85849
301,278,83678
154,572,88088
177,370,65490
54,967,52218
119,837,99603
258,738,190404
17,257,4369
481,107,51467
336,135,45360
227,748,169796
278,884,245752
486,729,354294
970,768,744960
394,153,60282
184,903,166152
139,952,132328
877,328,287656
710,315,223650
278,646,179588
4,301,1204
913,204,186252
125,15,1875
481,208,100048
53,959,50827
874,917,801458
895,762,681990
312,185,57720
359,16,5744
808,325,262600
425,434,184450
709,58,41122
402,949,381498
548,878,481144
83,379,31457
260,185,48100
827,104,86008
244,380,92720
582,324,188568
751,960,720960
780,502,391560
344,63,21672
949,42,39858
922,304,280288
638,909,579942
569,571,324899
283,351,99333
392,404,158368
712,46,32752
488,358,174704
486,673,327078
770,654,503580
628,334,209752
325,340,110500
700,501,350700
537,446,239502
735,241,177135
779,127,98933
19,352,6688
325,374,121550
761,906,689466
182,10,1820
731,17,12427
921,443,408003
786,416,326976
850,370,314500
193,951,183543
903,392,353976
810,794,643140
885,606,536310
587,28,16436
979,596,583484
437,296,129352
827,812,671524
776,876,679776
737,307,226259
561,994,557634
971,98,95158
191,478,91298
289,330,95370
558,18,10044
49,632,30968
521,527,274567
708,549,388692
408,651,265608
801,624,499824
151,656,99056
744,456,339264
413,13,5369
858,173,148434
107,518,55426
216,385,83160
34,630,21420
934,86,80324
591,460,271860
979,546,534534
201,637,128037
657,524,344268
589,474,279186
306,92,28152
825,526,433950
782,891,696762
511,552,282072
279,204,56916
70,99,6930
967,775,749425
70,231,16170
916,657,601812
275,846,232650
833,739,615587
130,27,3510
777,592,459984
610,94,57340
724,70,50680
970,861,835170
304,377,114608
754,714,538356
438,456,199728
969,450,436050
93,682,63426
721,70,50470
527,302,159154
450,986,443700
392,779,305368
274,587,160838
342,925,316350
950,773,734350
15,628,9420
285,741,211185
391,693,270963
992,780,773760
955,14,13370
45,139,6255
400,564,225600
39,331,12909
742,60,44520
184,313,57592
361,806,290966
179,742,132818
586,553,324058
846,605,511830
694,529,367126
680,443,301240
345,200,69000
165,689,113685
782,608,475456
761,939,714579
187,490,91630
226,615,138990
356,505,179780
254,855,217170
61,203,12383
878,952,835856
684,59,40356
522,77,40194
131,6,786
905,894,809070
115,262,30130
378,859,324702
904,203,183512
156,337,52572
807,538,434166
515,271,139565
881,343,302183
881,284,250204
412,228,93936
738,333,245754
429,677,290433
329,917,301693
914,22,20108
246,535,131610
825,756,623700
459,58,26622
86,688,59168
923,683,630409
188,381,71628
615,71,43665
835,68,56780
411,763,313593
768,733,562944
874,701,612674
283,210,59430
900,759,683100
585,724,423540
700,959,671300
751,183,137433
878,262,230036
921,63,58023
515,747,384705
626,366,229116
196,825,161700
693,958,663894
584,864,504576
74,774,57276
881,24,21144
870,83,72210
984,245,241080
591,129,76239
389,322,125258
477,330,157410
42,166,6972
428,403,172484
775,212,164300
222,509,112998
413,120,49560
890,290,258100
518,93,48174
546,550,300300
60,525,31500
550,994,546700
374,642,240108
314,453,142242
768,918,705024
513,463,237519
591,284,167844
34,718,24412
765,699,534735
209,360,75240
917,549,503433
560,598,334880
653,349,227897
423,338,142974
904,748,676192
272,391,106352
294,716,210504
850,299,254150
797,598,476606
362,179,64798
359,58,20822
445,339,150855
327,852,278604
405,717,290385
958,313,299854
638,505,322190
328,563,184664
951,412,391812
327,746,243942
667,596,397532
663,304,201552
83,101,8383
983,844,829652
128,533,68224
498,543,270414
820,970,795400
574,435,249690
683,252,172116
445,574,255430
902,540,487080
179,74,13246
221,864,190944
488,604,294752
176,695,122320
705,974,686670
271,476,128996
889,958,851662
494,568,280592
782,207,161874
217,292,63364
886,266,235676
611,360,219960
154,531,81774
148,302,44696
793,396,314028
534,754,402636
154,372,57288
345,433,149385
593,601,356393
868,697,604996
350,696,243600
92,769,70748
302,85,25670
836,710,593560
405,805,326025
373,811,302503
301,876,263676
598,571,341458
45,973,43785
275,276,75900
902,76,68552
215,592,127280
782,689,538798
26,438,11388
907,605,548735
652,572,372944
689,651,448539
293,188,55084
315,354,111510
636,611,388596
211,543,114573
319,791,252329
808,261,210888
445,507,225615
312,967,301704
918,918,842724
227,499,113273
39,305,11895
849,792,672408
353,793,279929
635,290,184150
762,483,368046
860,794,682840
481,387,186147
583,63,36729
191,744,142104
497,356,176932
233,399,92967
118,894,105492
346,948,328008
417,444,185148
297,378,112266
910,986,897260
840,784,658560
722,458,330676
77,359,27643
980,578,566440
248,205,50840
920,876,805920
790,839,662810
978,301,294378
981,225,220725
297,802,238194
735,544,399840
87,325,28275
601,569,341969
804,242,194568
541,422,228302
698,678,473244
84,730,61320
657,660,433620
395,661,261095
328,425,139400
906,891,807246
892,139,123988
131,282,36942
903,172,155316
920,907,834440
473,693,327789
822,8,6576
636,299,190164
198,458,90684
669,355,237495
107,776,83032
810,194,157140
408,652,266016
629,616,387464
99,863,85437
336,823,276528
552,130,71760
651,705,458955
50,514,25700
757,367,277819
366,334,122244
407,917,373219
353,482,170146
67,290,19430
514,929,477506
541,971,525311
102,384,39168
551,997,549347
749,88,65912
585,414,242190
186,603,112158
626,333,208458
489,853,417117
104,575,59800
90,511,45990
108,576,62208
13,124,1612
644,734,472696
517,541,279697
191,702,134082
464,510,236640
917,156,143052
775,497,385175
59,299,17641
246,94,23124
725,107,77575
146,212,30952
406,246,99876
429,794,340626
934,855,798570
798,98,78204
567,483,273861
953,674,642322
962,769,739778
807,749,604443
887,710,629770
838,173,144974
369,13,4797
304,690,209760
791,332,262612
44,174,7656
795,806,640770
104,29,3016
144,637,91728
532,416,221312
218,493,107474
71,631,44801
268,306,82008
575,145,83375
700,618,432600
290,476,138040
607,938,569366
95,88,8360
78,608,47424
692,193,133556
760,557,423320
833,35,29155
325,676,219700
3,266,798
776,640,496640
514,387,198918
489,151,73839
757,825,624525
981,714,700434
237,63,14931
348,743,258564
686,629,431494
935,628,587180
609,116,70644
865,852,736980
899,34,30566
543,628,341004
443,643,284849
912,812,740544
941,146,137386
733,124,90892
247,322,79534
369,859,316971
558,208,116064
684,646,441864
371,68,25228
969,485,469965
940,169,158860
609,25,15225
230,72,16560
528,488,257664
335,895,299825
268,72,19296
298,573,170754
916,551,504716
978,717,701226
713,201,143313
227,304,69008
637,93,59241
433,84,36372
552,749,413448
770,27,20790
127,669,84963
699,658,459942
36,9,324
314,841,264074
48,435,20880
492,820,403440
388,793,307684
641,903,578823
325,760,247000
51,911,46461
909,124,112716
885,167,147795
113,578,65314
355,975,346125
202,586,118372
889,114,101346
186,405,75330
475,514,244150
40,578,23120
576,535,308160
774,452,349848
577,747,431019
834,502,418668
831,339,281709
175,434,75950
917,624,572208
787,898,706726
428,62,26536
230,329,75670
838,61,51118
878,442,388076
624,232,144768
988,174,171912
631,747,471357
530,316,167480
828,696,576288
759,901,683859
215,494,106210
416,654,272064
92,686,63112
72,409,29448
681,590,401790
133,632,84056
610,64,39040
972,917,891324
921,320,294720
73,287,20951
11,507,5577
283,903,255549
1,940,940
765,654,500310
359,556,199604
687,388,266556
17,810,13770
330,690,227700
281,354,99474
254,257,65278
660,197,130020
354,240,84960
95,326,30970
636,90,57240
635,389,247015
984,350,344400
646,25,16150
132,750,99000
364,923,335972
226,462,104412
136,373,50728
816,133,108528
655,513,336015
462,232,107184
361,659,237899
200,35,7000
271,180,48780
889,124,110236
12,973,11676
190,265,50350
573,518,296814
427,159,67893
272,501,136272
959,890,853510
566,768,434688
507,826,418782
325,325,105625
124,926,114824
492,442,217464
392,689,270088
991,938,929558
369,617,227673
264,729,192456
163,623,101549
488,744,363072
410,934,382940
67,683,45761
876,49,42924
349,35,12215
922,788,726536
651,25,16275
688,278,191264
12,244,2928
197,603,118791
82,54,4428
932,674,628168
195,473,92235
719,810,582390
913,387,353331
701,652,457052
588,329,193452
765,995,761175
955,321,306555
100,746,74600
659,254,167386
67,653,43751
357,116,41412
336,890,299040
105,893,93765
49,552,27048
159,241,38319
165,728,120120
246,144,35424
720,237,170640
801,213,170613
213,190,40470
228,340,77520
887,968,858616
349,494,172406
399,223,88977
211,291,61401
764,898,686072
956,748,715088
843,688,579984
707,657,464499
664,375,249000
671,143,95953
680,193,131240
995,444,441780
133,709,94297
745,432,321840
269,279,75051
199,454,90346
603,931,561393
845,720,608400
317,703,222851
233,17,3961
970,675,654750
189,275,51975
587,605,355135
85,73,6205
730,478,348940
174,379,65946
948,26,24648
168,357,59976
522,70,36540
672,9,6048
802,560,449120
412,578,238136
662,897,593814
559,41,22919
232,884,205088
667,53,35351
635,342,217170
308,57,17556
609,290,176610
833,317,264061
45,496,22320
427,67,28609
621,160,99360
586,428,250808
273,750,204750
100,283,28300
888,182,161616
487,48,23376
533,668,356044
428,162,69336
346,367,126982
979,290,283910
45,477,21465
32,499,15968
812,370,300440
396,689,272844
439,639,280521
649,244,158356
475,57,27075
367,423,155241
729,563,410427
308,455,140140
611,812,496132
901,141,127041
114,365,41610
245,351,85995
80,315,25200
713,580,413540
95,842,79990
709,119,84371
928,444,412032
700,524,366800
600,845,507000
368,728,267904
514,681,350034
144,124,17856
25,540,13500
568,709,402712
106,942,99852
21,541,11361
881,759,668679
924,322,297528
740,987,730380
289,182,52598
973,786,764778
940,151,141940
92,622,57224
926,738,683388
606,481,291486
108,62,6696
428,914,391192
907,857,777299
632,828,523296
807,751,606057
94,324,30456
221,209,46189
116,736,85376
640,172,110080
355,196,69580
569,342,194598
600,300,180000
124,142,17608
986,145,142970
363,830,301290
380,546,207480
959,417,399903
110,456,50160
911,881,802591
904,385,348040
736,995,732320
914,452,413128
511,789,403179
237,258,61146
246,368,90528
568,553,314104
363,710,257730
113,923,104299
354,757,267978
271,254,68834
277,67,18559
184,883,162472
43,807,34701
126,936,117936
981,61,59841
967,760,734920
305,849,258945
215,857,184255
543,977,530511
388,855,331740
828,922,763416
524,576,301824
86,501,43086
646,100,64600
19,820,15580
108,568,61344
944,884,834496
667,60,40020
885,776,686760
775,200,155000
466,972,452952
214,36,7704
201,310,62310
718,111,79698
759,782,593538
578,721,416738
598,978,584844
464,961,445904
126,431,54306
635,777,493395
524,174,91176
623,897,558831
990,921,911790
669,453,303057
923,286,263978
865,444,384060
227,822,186594
882,190,167580
301,571,171871
251,61,15311
178,756,134568
141,759,107019
318,860,273480
101,308,31108
829,332,275228
511,661,337771
553,196,108388
761,939,714579
870,887,771690
904,508,459232
330,180,59400
38,188,7144
514,418,214852
941,645,606945
708,589,417012
981,404,396324
958,337,322846
566,126,71316
214,550,117700
983,787,773621
433,365,158045
14,18,252
237,503,119211
378,36,13608
56,163,9128
417,941,392397
847,230,194810
526,458,240908
976,140,136640
30,971,29130
888,296,262848
727,589,428203
450,793,356850
342,432,147744
824,815,671560
613,694,425422
534,98,52332
900,760,684000
86,526,45236
733,661,484513
775,6,4650
1,789,789
490,969,474810
86,189,16254
178,988,175864
834,555,462870
121,559,67639
348,672,233856
288,188,54144
948,952,902496
234,499,116766
921,301,277221
516,44,22704
